#L=%d, T=%.2f 
# E     M 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3192.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
-3200.00 12345.00 
